id,name,brewery_id,style,availability,abv
252059,SPON — Méthode Traditionelle,24018,Belgian Gueuze,Rotating,5.8
341789,Item 9: Rainbow Sour Belt,35547,American Imperial IPA,Rotating,9.2
153154,Pine Belt Pale Ale DH W/Cascade,16759,American Pale Ale (APA),Rotating,6.3
301208,Citrus Be Trippin,39455,American IPA,Rotating,6.5
199523,19th Street,39611,English India Pale Ale (IPA),Fall,8.8
301170,American Hefeweizen,39446,American Pale Wheat Ale,Rotating,5.1
169839,Trios,32581,Belgian Saison,Rotating,5.5
316356,Vanilla Hazelnut Milk Stout,43320,English Sweet / Milk Stout,Limited (brewed once),7.2
311532,Mandarin IPA,50900,American IPA,Year-round,6.0
47239,Old Smoky,4858,Smoke Beer,Rotating,6.4
220124,Get Off My Lawn,40236,English Old Ale,Rotating,8.0
322120,Cellarman's Reserve IPA - Centennial,31272,American IPA,Rotating,7.0
163668,Dave's Dreamsicle,31066,American Pale Ale (APA),Rotating,5.0
153661,Professor Black,35964,American Stout,Rotating,6.2
191668,N2Wit,37372,Belgian Witbier,Year-round,4.9
79124,Ruta Maya Dark,27696,German Schwarzbier,Year-round,5.5
328955,UB Blonde,51933,American Blonde Ale,Year-round,5.9
1075,Shiner Blonde,143,American Lager,Year-round,4.4
345529,Off Leash IPA,52779,American IPA,Year-round,6.5
309289,Saison Puede - Black Spanish Grape,35964,Belgian Saison,Limited (brewed once),7.3
60178,Chamomile Verano Sin Fin,18823,Belgian Saison,Rotating,6.4
243815,Dry Hopped Zomer Pils,29656,German Pilsner,Rotating,4.8
351877,Citra Self Down!,37532,American IPA,Rotating,7.7
302008,West Coast IPA,50326,American IPA,Year-round,7.2
154722,Bomb City Bock,27697,German Bock,Year-round,5.5
250044,Homespun Cream Ale,143,American Cream Ale,Year-round,5.0
197029,Pumpkin Style Texas Honey Ale,29440,Pumpkin Beer,Fall,7.02
326841,Cavalier,47537,American IPA,Rotating,7.6
365517,Nu Nglnd,31066,American IPA,Rotating,5.8
106957,Half-Notch Brown,18823,American Brown Ale,Rotating,4.9
318305,Wiggle Butt,51327,American Blonde Ale,Year-round,4.5
353509,BON HEFE,34333,Belgian Witbier,Rotating,5.1
284654,Raaaaaaaandy,35547,American Pale Ale (APA),Rotating,5.8
212561,Utterly Stout,2642,English Sweet / Milk Stout,Winter,5.0
226348,PKL FKR,34963,Berliner Weisse,Rotating,3.2
363892,Barrel Aged Smores,51758,American Imperial Stout,Rotating,11.5
